Leader,Follower,LagCorr
037,072,0.19267304096666074
026,040,0.19267854510571125
029,066,0.19273557254497506
007,029,0.1927417380522146
070,099,0.1927665647938628
034,051,0.19281007576891415
056,093,0.19285883428414932
084,012,0.19290463139696817
017,082,0.1929400562197231
068,012,0.19297003195557305
047,092,0.19299672929599782
012,098,0.19300693913560119
089,060,0.19301179946386418
099,075,0.1930288225031744
014,088,0.1930327145100208
071,013,0.1931798225049532
071,067,0.19321653898057436
072,038,0.19325200781217358
045,015,0.19333296515746062
089,043,0.19335011718453876
062,082,0.19338350839846905
081,023,0.19341370239509456
074,023,0.19343027730801338
039,047,0.19345866692784677
073,018,0.19349402610702254
047,032,0.19350613907471736
098,027,0.1935092717945171
085,005,0.19355661335984053
062,059,0.19358638780104828
058,048,0.19359963583868373
083,002,0.19365025993755094
096,022,0.19367110462893802
033,016,0.19368780625050708
092,100,0.19378444251412918
030,056,0.19384692638549844
095,066,0.19391728900883745
053,024,0.19393542012651646
024,093,0.19402506020476998
039,071,0.19404884604062647
066,046,0.19405008686268632
033,078,0.19405758735917011
048,047,0.19411322113210877
015,071,0.19414053339019188
065,024,0.19417054568365047
050,098,0.19418498653731464
072,022,0.1942285345467242
054,012,0.19423703232007533
031,080,0.19423933872168483
065,089,0.19430918743704317
088,020,0.19435922741354403
098,057,0.19444093592249426
001,012,0.19445870995509837
073,046,0.1944725180902054
013,012,0.19447419846956987
019,077,0.19450944264128986
084,020,0.19451035600017938
019,039,0.19452661279034977
046,036,0.19455618746540032
017,012,0.19458433319062962
028,071,0.19459669324056436
074,072,0.1946394287770974
038,072,0.19466760505694367
010,015,0.1947078982333245
095,070,0.19486320588614509
015,005,0.19488938347503443
048,006,0.19491348112335105
030,007,0.19492591893269684
070,055,0.1949552990875576
026,043,0.1950372032759038
013,081,0.1950626250390632
060,033,0.19510552185062432
007,097,0.19512754085751693
097,077,0.19516171296101312
050,099,0.19517061462495955
022,074,0.1951816663497019
018,063,0.1952380913500694
033,010,0.19526256796831531
074,022,0.19530915560840806
023,071,0.19530960628192306
093,024,0.19532779462069927
028,088,0.19533183632921283
063,048,0.19537720018520544
038,078,0.1953886687180434
047,060,0.19539319572011665
081,033,0.19544977410965547
100,072,0.19545396409988128
099,003,0.19558735068143746
073,025,0.19562142473410674
091,012,0.19563526481102889
019,021,0.19564885518727895
012,073,0.19574642487015861
033,084,0.19574842564085523
068,071,0.1957492706274066
019,055,0.1958267888190766
084,053,0.1958752178648671
021,045,0.19588349062659066
023,049,0.19599366415206923
002,086,0.1959959836115006
049,012,0.1961289300679236
098,001,0.19621419744206267
070,029,0.19631804345583853
071,027,0.19634046033191196
059,016,0.196487393742608
055,045,0.19655101996774674
075,055,0.19658420329733817
059,087,0.19659562786523643
026,028,0.19668158339590228
063,033,0.19668678185495228
044,040,0.19670646257143778
094,012,0.19673560794686135
043,059,0.19674220501662584
059,043,0.19677985982733975
012,061,0.1968238075886236
039,012,0.19688662947160507
055,012,0.19698639983262048
092,043,0.19700048654495872
018,043,0.19703498922257334
071,023,0.1970579577692161
018,028,0.1971231604333811
012,039,0.197140393829765
072,093,0.1971470447127947
065,098,0.19717752226369858
025,057,0.1971926368454293
056,001,0.19724406426998875
080,070,0.1972516716174416
066,085,0.19728472395194685
055,026,0.1973098652859698
026,094,0.19733498882899836
023,025,0.1974060695711526
053,050,0.19740933454933876
005,015,0.1974225076030627
026,001,0.19746709582737876
063,024,0.1974951708388189
088,087,0.1975006914800948
059,044,0.1975436603600694
099,050,0.19755270620650042
009,092,0.1975947571756905
062,013,0.19762106435993598
094,048,0.19762367307455828
056,004,0.19775661144308496
034,048,0.19778979987697987
048,075,0.19785767185145203
040,017,0.19789237932758202
012,091,0.1979184509184583
076,050,0.19792467821030033
052,045,0.19796745304385396
072,051,0.19796839030065413
063,027,0.1980831575080061
042,001,0.1981165162525343
070,095,0.19813701582637458
042,002,0.19817076373469938
092,076,0.19823680872904573
048,041,0.1983230752578124
014,045,0.19833562744576722
091,041,0.19842735183466934
022,061,0.19844337313910484
055,046,0.19844903681481404
094,054,0.1984523331909237
098,002,0.1984662607698277
089,088,0.19848068119472342
042,070,0.1984931116542367
030,033,0.19858393489040457
009,090,0.19881832665642848
028,012,0.1988421024100195
047,036,0.198879867241589
048,031,0.1989901315152367
008,002,0.1990538460884155
024,065,0.19909101498485873
052,093,0.1991205622009139
004,076,0.19912241558229588
023,063,0.1991297438473598
052,088,0.19915311857856421
057,024,0.19923624003266746
055,071,0.19924764116357618
088,046,0.1993901606840676
063,003,0.19948697084727993
056,027,0.1994954337043639
023,067,0.1995108850830243
053,009,0.1995792207240357
075,099,0.19964081267124803
099,073,0.1996628391818396
022,056,0.19973430595282554
097,041,0.19978012673491488
015,040,0.1998446817607613
098,043,0.19999435095501747
094,030,0.20002924989155965
009,031,0.2000774265315472
088,054,0.20013800017736325
037,059,0.20015340314181732
045,052,0.20016936323567133
014,089,0.20019671827655564
054,084,0.20022321338397697
023,039,0.20037911351437573
012,013,0.2004180827463765
045,078,0.20045584061823915
013,089,0.20049489702938952
005,038,0.2005580393431638
012,028,0.20060525047971914
002,089,0.20061532284008976
049,092,0.2006154732303906
012,049,0.20066318290115848
002,033,0.20066898102463424
099,040,0.20067624932574352
013,055,0.20069598157191995
092,086,0.20083482638786262
073,099,0.20085338376321354
024,033,0.20087769596086186
097,008,0.20090834060619647
041,088,0.200919848297863
074,095,0.2009258346174146
099,029,0.20095930878295248
025,074,0.20098980504904854
066,024,0.20111614406080547
043,072,0.20111719895273641
022,072,0.20113734042956063
029,099,0.20116874297202472
031,086,0.20137927116268226
080,071,0.2014471726063498
020,088,0.2014478514069024
004,075,0.2014647405558199
059,021,0.20152167278776612
045,049,0.20157356868862367
017,063,0.20157488698192322
055,070,0.20159037290735315
007,010,0.2015915034701997
041,097,0.20162014338481735
045,035,0.20163175593188717
066,083,0.20163374569077314
012,067,0.20167122460214643
041,091,0.20185961006003178
093,095,0.20188561652071849
079,053,0.201903430408412
028,039,0.20190580412029713
098,074,0.2019100699466841
011,015,0.20191162236817847
045,040,0.20194618383182972
045,084,0.20197916392814186
053,003,0.2020179903534366
050,053,0.20204896500797564
072,056,0.20205264738201342
091,092,0.20213250645676228
012,064,0.20221034169626362
092,071,0.20223899820886004
094,092,0.2022682081158729
050,076,0.20234206838419344
027,008,0.2023467916631235
065,017,0.20241074899695555
007,035,0.2024577449861021
082,040,0.2025234388930801
049,004,0.20253740186264005
080,031,0.2026058052119213
078,034,0.2026322643114373
067,025,0.2026367714206531
055,018,0.20264241507932737
024,066,0.20264392477095727
045,033,0.20268050881873295
048,058,0.20278237944306965
056,092,0.20278613255753775
015,011,0.20286232188914713
055,066,0.20287779588038027
012,084,0.20292238277246977
031,053,0.20294167388918194
085,092,0.2030287406067724
015,090,0.20307775441801618
047,005,0.20313549123295116
006,048,0.2032345557472867
092,009,0.20324083375983415
084,062,0.20324429931802024
050,086,0.20330646805752017
060,066,0.2034203789772231
053,031,0.20343251854131647
063,004,0.20346391541825573
017,066,0.2034666971647686
033,014,0.20349526323717546
002,093,0.2035622952154872
030,092,0.2036078250838486
086,097,0.20367788183367466
055,094,0.20370017161756648
078,038,0.20382176463458948
042,036,0.20383932887276224
022,087,0.20388914805313088
067,092,0.20391941711371275
096,015,0.2039680509820687
091,054,0.2040189268901517
004,046,0.2040195817559273
003,013,0.20402322512675505
055,075,0.20404025188358124
048,038,0.20406470759221396
045,093,0.2041044304495029
066,056,0.2041074223941719
027,017,0.20414503677249013
095,043,0.2041578714634044
056,022,0.20418025633144363
043,018,0.20421143641599007
067,012,0.204234021517152
087,070,0.20430092004863806
007,015,0.2043047939964225
089,093,0.20435857683847797
083,048,0.20437531838556322
072,054,0.20441321980265506
095,038,0.204470324084262
034,056,0.20448215188908045
001,056,0.204568196365642
015,002,0.2046241340047666
100,044,0.20467157018175733
039,040,0.20484906727980082
007,083,0.2049386003782062
038,095,0.20506571174498694
087,078,0.20507884955531577
066,055,0.2052075196757064
088,040,0.20520815510023144
052,089,0.20527732257016168
066,093,0.20532143311766207
046,063,0.20532238575454814
073,034,0.2053814747040625
071,031,0.2053902759785611
068,089,0.20543603600479593
